49,(주)싸인텔레콤,직업 운동선수,계약직,시급,9620,서울특별시 영등포구 경인로 775 (문래동3가),중소,경기서부지사,126.8975806,37.5147471
50,현담산업(주),전기 부품·제품 조립·검사원,상용직,연봉,41000000,충청남도 아산시 영인면 역리길 29 현담산업,중소,충남지사,126.965389,36.8740941
51,천안재활병원,기타 보건·의료 서비스 종사원,상용직,월급,2010580,충청남도 천안시 서북구 쌍용대로 225 SRRC 천안재활병원 (성정동),개인,충남지사,127.1349515,36.8175781
52,동신대목포한방병원,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",계약직,월급,2010580,전라남도 목포시 백년대로 313  (상동),중소,전남지사,126.4215375,34.80485
53,(주)오리엔트정공,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,9620,경상북도 구미시 수출대로9길 26-5 (공단동),중소,경북지사,128.3803778,36.1136203
54,(주)오리엔트플라스틱,자동차 부분품 조립·검사원,상용직,시급,9620,경상북도 구미시 수출대로9길 26-5 (공단동),중소,경북지사,128.3803778,36.1136203
55,의료법인 은성의료재단 좋은삼정병원,간호조무사(요양병원 제외),계약직,시급,9620,울산광역시 남구 무거동 217-1,대기업,울산지사,129.2689454,35.5528863
56,현대그린푸드 글로비스 양산점,주방 보조원(일반 음식점),상용직,시급,9620,경상남도 양산시 산막공단북9길 33 (산막동),대기업,울산지사,129.0639297,35.3702721
57,꽃피는고래(주) 농업회사법인,농업 단순 종사원,상용직,시급,10000,울산광역시 울주군 범서읍 등넘길 69 꽃피는고래(구주소: 망성리13-1),"협회,단체",울산지사,129.2342746,35.5936089
58,한국양성평등교육진흥원,사무 보조원(공공기관),계약직,월급,2020000,서울특별시 은평구 진흥로 225 (불광동),"공사,공공",서울지역본부,126.9363746,37.6109749
59,주식회사 씨브이파트너스,사무 보조원(일반사업체),계약직,월급,1010090,서울특별시 금천구 시흥대로 479 5~10층 (독산동),중소,서울남부지사,126.8981835,37.4763503
60,주식회사 에이블위,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",시간제,시급,9620,"서울특별시 강서구 양천로 470 (등촌동) 지하1층 109호, 그레이스힐",개인,서울남부지사,126.8524822,37.5620647
61,한국해양대학교,환경 미화원,상용직,연봉,28000000,부산광역시 영도구 태종로 727 한국해양대학교 (동삼동),중소,부산지역본부,129.0892004,35.076358
62,한국환경공단,사무 보조원(공공기관),계약직,월급,2010580,인천광역시 서구 환경로 42 종합환경연구단지 한국환경공단 (경서동),"공사,공공",부산지역본부,126.6402668,37.5688204
63,삼보모터스(주),총무 및 일반 사무원,상용직,연봉,3300000,대구광역시 달서구 성서동로 142 (월암동),개인,대구지역본부,128.5167816,35.8337883
64,(주)웰빙환경,재활용품 및 폐기물 수거원,계약직,연봉,40000000,경상북도 경산시 자인면 공단로 110-19 (계림리),중소,대구지역본부,128.8166572,35.8432711
66,서송병원,기타 보건·의료 서비스 종사원,계약직,시급,10000,인천광역시 계양구 경명대로972번길 9 서송병원 (계산동),중소,인천지사,126.7121702,37.5434623
67,에스엘로지스틱스,일반 택배원(퀵서비스 포함),상용직,월급,1400000,인천광역시 연수구 인천타워대로 323 (송도동)오피스비동 1703호,중소,인천지사,126.630412,37.398281
68,대성고등학교,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,시급,9620,대전광역시 중구 목동로 23 (목동)대성고등학교,"공사,공공",대전지역본부,127.4070199,36.3328292
69,유한회사 충무타올,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,대전광역시 대덕구 방두말3길 8 (평촌동),중소,대전지역본부,127.4260171,36.4306355
70,가톨릭대학교 성빈센트병원,병원행정 사무원(원무),계약직,월급,1100000,"경기도 수원시 팔달구 중부대로 93 (지동), 성빈센트병원 93-6",대기업,경기지역본부,127.0274271,37.2779855
71,동신산업(주) 평택공장,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,경기도 평택시 팽성읍 추팔산단로 92 (추팔리),중소,경기지역본부,127.0753448,36.9570715
72,대평고등학교,사무 보조원(공공기관),상용직,시급,9620,경기도 수원시 장안구 천천로22번길 21 (정자동),"공사,공공",경기지역본부,126.9881625,37.295375
73,신광산업,기계·금속 분야 단순 종사원,상용직,시급,9620,경상남도 김해시 주촌면 골든루트로 103-11 신광산업,중소,경남지사,128.8286116,35.2140612
74,재단법인 전남문화재단,데스크 안내원,계약직,월급,995720,전라남도 무안군 삼향읍 후광대로 242 13층,"공사,공공",전남지사,126.4581263,34.813971
75,(주)조선호텔앤리조트그랜드조선제주,"호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)",상용직,시급,9620,제주특별자치도 서귀포시 중문관광로72번길 60 (색달동),대기업,제주지사,126.4055494,33.2521851
76,평택대학교,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,"경기도 평택시 서동대로 3825 (용이동), 평택대학교",개인,경기지역본부,127.1334625,36.9952846
77,주식회사케이티서비스남부,창고 관리원(자재 검수원 포함),상용직,월급,2500000,"대전광역시 서구 갈마로 160 본관 5층 (괴정동, KT인재개발원)",중소,강원지사,127.3752466,36.3365369
78,(주)포항개발,세탁원(다림질원),상용직,시급,9620,경상북도 포항시 남구 대송면 제내길31번길 33 1층,중소,경북지사,129.3667482,35.9829125
79,안동모꼬지,직업 운동선수,계약직,시급,9620,경상북도 안동시 대안로 98-8 1층 (옥야동),개인,경북지사,128.7237889,36.5649269
80,핑크다원,직업 운동선수,계약직,시급,9620,경상북도 안동시 중앙시장4길 26-35 핑크다원(옥야동),개인,경북지사,128.7237829,36.5647761
81,한국전력공사,사무 보조원(공공기관),계약직,시급,9620,전라남도 나주시 전력로 55 한국전력공사 10층 전력노조 본사지부 (빛가람동),"공사,공공",경기북부지사,126.7844537,35.0263692
82,(주)하이프라자,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,시급,9620,서울특별시 강서구 마곡중앙5로 18 6-8층 (마곡동),중소,경기북부지사,126.8258413,37.5672438
83,한국동서발전(주),화가 및 조각가,계약직,월급,1005290,울산광역시 중구 종가로 395 (북정동),"공사,공공",울산지사,129.3191333,35.5662812
84,엔브이에이치코리아(주),자동차 부분품 조립·검사원,상용직,시급,9620,울산광역시 북구 이화산업1길 9 (중산동),대기업,울산지사,129.3498636,35.6665316
85,(주)수미가,기타 식품가공 종사원,상용직,시급,9620,경상북도 경주시 외동읍 별미길 35-54 (수미가),개인,울산지사,129.3338625,35.7060429
